Kab/Kota,,,,,,
,Rata-rata Lama Sekolah (RLS) Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi DKI Jakarta (tahun) (Tahun),,,,,
,Laki-Laki,,,Perempuan,,
,2022,2023,2024,2022,2023,2024
Kep Seribu,9.3,9.31,9.57,8.73,8.74,8.96
Jakarta Selatan,12.07,12.09,12.38,11.33,11.54,11.7
Jakarta Timur,12.23,12.24,12.3,11.53,11.72,11.83
Jakarta Pusat,11.81,11.82,11.83,11.3,11.31,11.4
Jakarta Barat,11.51,11.64,11.65,10.72,10.82,10.83
Jakarta Utara,11.3,11.32,11.34,10.36,10.42,10.43
DKI Jakarta,11.64,11.73,11.83,10.97,11.18,11.19
